parkType,countryCode,countryName,name,latitude,longitude
national_park,AU,"Australia","Camooweal Caves",-20.01916667,138.19
botanical_garden,AU,"Australia","Camperdown",-38.23695,143.11773
national_park,AU,"Australia","Cania Gorge",-24.66,150.989444444
national_park,AU,"Australia","Canunda",-37.7156,140.283
national_park,AU,"Australia","Cape Arid",-33.7039,123.369
national_park,AU,"Australia","Cape Gantheaume",-35.988930555,137.455580555
national_park,AU,"Australia","Cape Hart",-35.861811111,138.080769444
national_park,AU,"Australia","Cape Hillsborough",-20.8989,148.994
national_park,AU,"Australia","Cape Howe Marine",-37.53333333,149.95
national_park,AU,"Australia","Cape Le Grand",-33.9469,122.156
national_park,AU,"Australia","Cape Melville National Park (Cape York Peninsula Aboriginal Land)",-14.2764,144.516
national_park,AU,"Australia","Cape Palmerston",-21.590277777,149.4275
national_park,AU,"Australia","Cape Range",-22.1233,113.921
national_park,AU,"Australia","Cape Range (South)",-22.5886,113.7251
national_park,AU,"Australia","Cape Upstart",-19.713333333,147.760833333
national_park,AU,"Australia","Capertee",-33.0318,150.0346
national_park,AU,"Australia","Capoompeta",-29.392777777,152.008888888
national_park,AU,"Australia","Capricorn Coast",-23.122222222,150.743888888
national_park,AU,"Australia","Capricornia Cays",-23.809519444,152.288561111
botanical_garden,AU,"Australia","Carlton Gardens",-37.8061,144.97
national_park,AU,"Australia","Carnarvon",-24.6358,147.997
national_park,AU,"Australia","Carrai",-30.893055555,152.241944444
national_park,AU,"Australia","Cascade",-30.258055555,152.808611111
national_park,AU,"Australia","Castle Tower",-24.1575,151.306944444
botanical_garden,AU,"Australia","Castlemaine",-37.05262,144.21557
national_park,AU,"Australia","Cataract",-28.73944444,152.33608246
national_park,AU,"Australia","Cathedral Rock",-30.415,152.2511111
national_park,AU,"Australia","Cattai",-33.5472,150.897
national_park,AU,"Australia","Chaelundi",-29.944166666,152.510833333
national_park,AU,"Australia","Charles Darwin",-12.45083333,130.87333333
national_park,AU,"Australia","Cherbourg",-26.4112683,151.9919941
